caseid,createdatetime,fab,subject,username,productname,issuetype
case-20260430-00017,2026/4/30 3:33:16 PM,F18,[fdc alarm:模型維護]f18_Tool-97的例行性FDC演算法閾值微調驗證,alex_chen,fdc,模型維護
case-20260430-00018,2026/4/30 8:41:21 PM,F14A,[fdc alarm:感測器異常]f14a_Tool-68的單一Sensor SVID採樣週期跳動,john_lin,fdc,感測器異常
case-20260430-00019,2026/4/30 7:56:46 PM,F15,[fdc alarm:感測器異常]f15_Tool-74的單一Sensor SVID採樣週期跳動,eric_huang,fdc,感測器異常
case-20260430-00020,2026/4/30 12:53:40 PM,F12B,[others alarm:帳號與權限]f12b_General的工程師忘記密碼導致帳號被鎖定,david_li,others,帳號與權限
case-20260430-00021,2026/4/30 4:49:59 PM,F15,[others alarm:帳號與權限]f15_General的工程師忘記密碼導致帳號被鎖定,alex_chen,others,帳號與權限
case-20260430-00022,2026/4/30 9:59:23 AM,F12B,[others alarm:週邊設備]f12b_General的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260501-00023,2026/5/1 9:46:31 AM,F15,[ees alarm:帳號與權限]f15_Tool-26的廠端新進作業員申請基礎檢視權限,john_lin,ees,帳號與權限
case-20260501-00024,2026/5/1 10:16:33 AM,F12B,[tcs/tap alarm:派工作業]f12b_Tool-98的機台換批時派工佇列稍有延遲重整後正常,chris_chao,tcs/tap,派工作業
case-20260501-00025,2026/5/1 7:19:25 PM,F14B,[tcs/tap alarm:設備通訊]f14b_Tool-67的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,sam_liu,tcs/tap,設備通訊
case-20260501-00026,2026/5/1 11:14:04 AM,F12A,[tcs/tap alarm:帳號與權限]f12a_Tool-39的作業員請假交接暫時調整TAP機台控制權限,sam_liu,tcs/tap,帳號與權限
case-20260501-00027,2026/5/1 8:04:45 AM,F12B,[fdc alarm:感測器異常]f12b_General的單一Sensor SVID採樣週期跳動,alex_chen,fdc,感測器異常
case-20260501-00028,2026/5/1 9:32:15 AM,F18,[others alarm:帳號與權限]f18_Tool-79的工程師忘記密碼導致帳號被鎖定,eric_huang,others,帳號與權限
case-20260501-00029,2026/5/1 7:59:56 PM,F12B,[others alarm:帳號與權限]f12b_Tool-62的工程師忘記密碼導致帳號被鎖定,tony_chang,others,帳號與權限
case-20260502-00030,2026/5/2 9:42:27 AM,F14B,[ees alarm:PM保養]f14b_Tool-16的年度PM完成後於EES點選完工無法同步更新狀態,sam_liu,ees,PM保養
case-20260502-00031,2026/5/2 2:46:21 PM,F12B,[tcs/tap alarm:帳號與權限]f12b_General的作業員請假交接暫時調整TAP機台控制權限,john_lin,tcs/tap,帳號與權限
case-20260502-00032,2026/5/2 10:27:11 AM,F14B,[fdc alarm:感測器異常]f14b_General的單一Sensor SVID採樣週期跳動,eric_huang,fdc,感測器異常
case-20260502-00033,2026/5/2 3:51:55 PM,F12A,[fdc alarm:感測器異常]f12a_Tool-79的單一Sensor SVID採樣週期跳動,john_lin,fdc,感測器異常
case-20260502-00034,2026/5/2 8:54:15 PM,F14B,[others alarm:帳號與權限]f14b_Tool-37的廠端新進作業員申請基礎檢視權限,kevin_wang,others,帳號與權限
case-20260503-00035,2026/5/3 10:24:00 AM,F14A,[ees alarm:零件壽命]f14a_Tool-68的更換消耗性零件後EES介面仍顯示壽命過期警告,chris_chao,ees,零件壽命
case-20260503-00036,2026/5/3 7:46:50 PM,F12B,[tcs/tap alarm:派工作業]f12b_General的機台換批時派工佇列稍有延遲重整後正常,tony_chang,tcs/tap,派工作業
case-20260503-00037,2026/5/3 8:37:47 AM,F18,[tcs/tap alarm:設備通訊]f18_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,alex_chen,tcs/tap,設備通訊
case-20260503-00038,2026/5/3 3:32:58 PM,F12A,[fdc alarm:腔體警報]f12a_Tool-20的腔體即時壓力短暫碰觸UCL邊界,kevin_wang,fdc,腔體警報
case-20260503-00039,2026/5/3 9:38:04 AM,F14B,[fdc alarm:腔體警報]f14b_General的腔體即時壓力短暫碰觸UCL邊界,david_li,fdc,腔體警報
case-20260503-00040,2026/5/3 5:38:02 PM,F14B,[fdc alarm:模型維護]f14b_Tool-82的例行性FDC演算法閾值微調驗證,john_lin,fdc,模型維護
case-20260503-00041,2026/5/3 11:42:45 AM,F12B,[others alarm:帳號與權限]f12b_General的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260503-00042,2026/5/3 6:41:19 PM,F14A,[others alarm:帳號與權限]f14a_Tool-19的工程師忘記密碼導致帳號被鎖定,tony_chang,others,帳號與權限
case-20260504-00043,2026/5/4 5:36:06 PM,F15,[ees alarm:零件壽命]f15_General的更換消耗性零件後EES介面仍顯示壽命過期警告,john_lin,ees,零件壽命
case-20260504-00044,2026/5/4 10:59:22 AM,F12B,[ees alarm:配方管理]f12b_General的修改參數後上傳EES主機回應逾時,john_lin,ees,配方管理
case-20260504-00045,2026/5/4 4:45:19 PM,F18,[tcs/tap alarm:報表與查詢]f18_Tool-48的工程師申請匯出昨日OHT搬運統計報表,alex_chen,tcs/tap,報表與查詢
case-20260504-00046,2026/5/4 9:56:08 AM,F12A,[tcs/tap alarm:派工作業]f12a_Tool-80的機台換批時派工佇列稍有延遲重整後正常,eric_huang,tcs/tap,派工作業
case-20260504-00047,2026/5/4 12:38:13 PM,F12B,[fdc alarm:資料採集]f12b_Tool-43的短暫網路震盪導致FDC Log採集延遲,sam_liu,fdc,資料採集
case-20260504-00048,2026/5/4 12:57:58 PM,F12A,[fdc alarm:感測器異常]f12a_Tool-45的單一Sensor SVID採樣週期跳動,alex_chen,fdc,感測器異常
case-20260504-00049,2026/5/4 1:49:08 PM,F12B,[others alarm:週邊設備]f12b_Tool-80的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260505-00050,2026/5/5 4:00:07 PM,F18,[ees alarm:PM保養]f18_Tool-79的年度PM完成後於EES點選完工無法同步更新狀態,john_lin,ees,PM保養
case-20260505-00051,2026/5/5 1:37:35 PM,F14B,[ees alarm:零件壽命]f14b_General的更換消耗性零件後EES介面仍顯示壽命過期警告,kevin_wang,ees,零件壽命
case-20260505-00052,2026/5/5 8:55:02 PM,F12B,[tcs/tap alarm:設備通訊]f12b_Tool-95的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,sam_liu,tcs/tap,設備通訊
case-20260505-00053,2026/5/5 1:49:35 PM,F15,[tcs/tap alarm:派工作業]f15_Tool-40的機台換批時派工佇列稍有延遲重整後正常,chris_chao,tcs/tap,派工作業
case-20260505-00054,2026/5/5 2:01:11 PM,F14B,[fdc alarm:模型維護]f14b_Tool-41的例行性FDC演算法閾值微調驗證,sam_liu,fdc,模型維護
case-20260505-00055,2026/5/5 8:44:06 PM,F12A,[others alarm:帳號與權限]f12a_Tool-38的工程師忘記密碼導致帳號被鎖定,chris_chao,others,帳號與權限
case-20260506-00056,2026/5/6 1:19:52 PM,F12B,[ees alarm:配方管理]f12b_General的修改參數後上傳EES主機回應逾時,david_li,ees,配方管理
case-20260506-00057,2026/5/6 2:21:17 PM,F14A,[ees alarm:帳號與權限]f14a_General的廠端新進作業員申請基礎檢視權限,john_lin,ees,帳號與權限
case-20260506-00058,2026/5/6 4:21:01 PM,F14A,[tcs/tap alarm:自動搬運]f14a_General的自動搬運系統指令重試後成功進料,john_lin,tcs/tap,自動搬運
case-20260506-00059,2026/5/6 8:06:38 AM,F14A,[tcs/tap alarm:系統效能]f14a_Tool-50的尖峰排程時段TCS主機反應時間稍有波動,chris_chao,tcs/tap,系統效能
case-20260506-00060,2026/5/6 5:32:07 PM,F15,[tcs/tap alarm:設備通訊]f15_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,chris_chao,tcs/tap,設備通訊
case-20260506-00061,2026/5/6 2:00:33 PM,F14A,[fdc alarm:模型維護]f14a_Tool-95的例行性FDC演算法閾值微調驗證,david_li,fdc,模型維護
case-20260506-00062,2026/5/6 5:20:42 PM,F18,[fdc alarm:模型維護]f18_Tool-74的例行性FDC演算法閾值微調驗證,john_lin,fdc,模型維護
case-20260506-00063,2026/5/6 6:26:20 PM,F18,[fdc alarm:腔體警報]f18_General的腔體即時壓力短暫碰觸UCL邊界,chris_chao,fdc,腔體警報
case-20260506-00064,2026/5/6 2:42:24 PM,F15,[others alarm:週邊設備]f15_Tool-61的標籤列印機無法收到網路列印指令,kevin_wang,others,週邊設備
case-20260507-00065,2026/5/7 12:18:13 PM,F15,[ees alarm:帳號與權限]f15_Tool-51的廠端新進作業員申請基礎檢視權限,chris_chao,ees,帳號與權限
case-20260507-00066,2026/5/7 3:43:13 PM,F18,[tcs/tap alarm:設備通訊]f18_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,tony_chang,tcs/tap,設備通訊
case-20260507-00067,2026/5/7 12:32:42 PM,F12A,[tcs/tap alarm:報表與查詢]f12a_Tool-40的工程師申請匯出昨日OHT搬運統計報表,sam_liu,tcs/tap,報表與查詢
case-20260507-00068,2026/5/7 11:51:12 AM,F12A,[fdc alarm:資料採集]f12a_General的短暫網路震盪導致FDC Log採集延遲,kevin_wang,fdc,資料採集
case-20260507-00069,2026/5/7 5:54:49 PM,F14B,[fdc alarm:腔體警報]f14b_Tool-90的腔體即時壓力短暫碰觸UCL邊界,john_lin,fdc,腔體警報
case-20260507-00070,2026/5/7 7:24:31 PM,F12B,[others alarm:週邊設備]f12b_General的標籤列印機無法收到網路列印指令,chris_chao,others,週邊設備
case-20260507-00071,2026/5/7 8:57:48 AM,F14B,[others alarm:週邊設備]f14b_General的標籤列印機無法收到網路列印指令,john_lin,others,週邊設備
case-20260507-00072,2026/5/7 4:29:03 PM,F12A,[others alarm:週邊設備]f12a_Tool-69的標籤列印機無法收到網路列印指令,david_li,others,週邊設備
case-20260508-00073,2026/5/8 4:38:20 PM,F15,[ees alarm:帳號與權限]f15_Tool-74的廠端新進作業員申請基礎檢視權限,tony_chang,ees,帳號與權限
case-20260508-00074,2026/5/8 4:28:57 PM,F18,[ees alarm:零件壽命]f18_Tool-67的更換消耗性零件後EES介面仍顯示壽命過期警告,kevin_wang,ees,零件壽命
case-20260508-00075,2026/5/8 8:15:53 PM,F15,[ees alarm:零件壽命]f15_Tool-40的更換消耗性零件後EES介面仍顯示壽命過期警告,eric_huang,ees,零件壽命
case-20260508-00076,2026/5/8 9:45:18 AM,F14A,[tcs/tap alarm:帳號與權限]f14a_General的作業員請假交接暫時調整TAP機台控制權限,david_li,tcs/tap,帳號與權限
case-20260508-00077,2026/5/8 9:08:09 AM,F14B,[tcs/tap alarm:設備通訊]f14b_Tool-37的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,david_li,tcs/tap,設備通訊
case-20260508-00078,2026/5/8 2:21:34 PM,F14B,[fdc alarm:資料採集]f14b_General的短暫網路震盪導致FDC Log採集延遲,tony_chang,fdc,資料採集
case-20260508-00079,2026/5/8 2:57:49 PM,F15,[fdc alarm:感測器異常]f15_General的單一Sensor SVID採樣週期跳動,alex_chen,fdc,感測器異常
case-20260508-00080,2026/5/8 12:48:24 PM,F15,[others alarm:週邊設備]f15_Tool-79的標籤列印機無法收到網路列印指令,chris_chao,others,週邊設備
case-20260508-00081,2026/5/8 11:31:14 AM,F14B,[others alarm:帳號與權限]f14b_Tool-59的廠端新進作業員申請基礎檢視權限,eric_huang,others,帳號與權限
case-20260509-00082,2026/5/9 6:51:25 PM,F14B,[ees alarm:PM保養]f14b_Tool-89的年度PM完成後於EES點選完工無法同步更新狀態,kevin_wang,ees,PM保養
case-20260509-00083,2026/5/9 2:37:36 PM,F12A,[ees alarm:帳號與權限]f12a_Tool-27的廠端新進作業員申請基礎檢視權限,alex_chen,ees,帳號與權限
case-20260509-00084,2026/5/9 10:03:16 AM,F14A,[ees alarm:零件壽命]f14a_General的更換消耗性零件後EES介面仍顯示壽命過期警告,chris_chao,ees,零件壽命
case-20260509-00085,2026/5/9 8:56:24 PM,F14B,[tcs/tap alarm:設備通訊]f14b_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,eric_huang,tcs/tap,設備通訊
case-20260509-00086,2026/5/9 3:01:47 PM,F14A,[tcs/tap alarm:設備通訊]f14a_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,alex_chen,tcs/tap,設備通訊
case-20260509-00087,2026/5/9 8:48:01 AM,F12B,[fdc alarm:腔體警報]f12b_Tool-89的腔體即時壓力短暫碰觸UCL邊界,david_li,fdc,腔體警報
case-20260509-00088,2026/5/9 11:08:30 AM,F15,[fdc alarm:模型維護]f15_Tool-69的例行性FDC演算法閾值微調驗證,john_lin,fdc,模型維護
case-20260509-00089,2026/5/9 8:23:10 PM,F12B,[fdc alarm:感測器異常]f12b_Tool-23的單一Sensor SVID採樣週期跳動,john_lin,fdc,感測器異常
case-20260509-00090,2026/5/9 5:43:58 PM,F14B,[others alarm:帳號與權限]f14b_Tool-35的工程師忘記密碼導致帳號被鎖定,chris_chao,others,帳號與權限
case-20260509-00091,2026/5/9 5:44:53 PM,F12A,[others alarm:週邊設備]f12a_Tool-48的標籤列印機無法收到網路列印指令,david_li,others,週邊設備
case-20260510-00092,2026/5/10 8:07:50 PM,F14A,[ees alarm:零件壽命]f14a_Tool-94的更換消耗性零件後EES介面仍顯示壽命過期警告,alex_chen,ees,零件壽命
case-20260510-00093,2026/5/10 9:32:41 AM,F12A,[ees alarm:PM保養]f12a_Tool-72的年度PM完成後於EES點選完工無法同步更新狀態,sam_liu,ees,PM保養
case-20260510-00094,2026/5/10 2:23:40 PM,F18,[ees alarm:配方管理]f18_General的修改參數後上傳EES主機回應逾時,tony_chang,ees,配方管理
case-20260510-00095,2026/5/10 4:41:17 PM,F14B,[tcs/tap alarm:自動搬運]f14b_Tool-85的自動搬運系統指令重試後成功進料,tony_chang,tcs/tap,自動搬運
case-20260510-00096,2026/5/10 1:54:15 PM,F14A,[tcs/tap alarm:系統效能]f14a_Tool-41的尖峰排程時段TCS主機反應時間稍有波動,john_lin,tcs/tap,系統效能
case-20260510-00097,2026/5/10 5:39:42 PM,F14A,[tcs/tap alarm:自動搬運]f14a_General的自動搬運系統指令重試後成功進料,chris_chao,tcs/tap,自動搬運
case-20260510-00098,2026/5/10 3:13:22 PM,F14A,[fdc alarm:模型維護]f14a_General的例行性FDC演算法閾值微調驗證,eric_huang,fdc,模型維護
case-20260510-00099,2026/5/10 8:33:12 AM,F12B,[others alarm:週邊設備]f12b_Tool-72的標籤列印機無法收到網路列印指令,john_lin,others,週邊設備
case-20260510-00100,2026/5/10 8:15:44 PM,F18,[others alarm:帳號與權限]f18_Tool-67的工程師忘記密碼導致帳號被鎖定,tony_chang,others,帳號與權限
case-20260510-00101,2026/5/10 9:18:14 AM,F18,[others alarm:週邊設備]f18_General的標籤列印機無法收到網路列印指令,chris_chao,others,週邊設備
case-20260511-00102,2026/5/11 1:30:35 PM,F14B,[ees alarm:零件壽命]f14b_Tool-80的更換消耗性零件後EES介面仍顯示壽命過期警告,sam_liu,ees,零件壽命
case-20260511-00103,2026/5/11 1:44:29 PM,F14A,[ees alarm:PM保養]f14a_General的年度PM完成後於EES點選完工無法同步更新狀態,eric_huang,ees,PM保養
case-20260511-00104,2026/5/11 7:12:20 PM,F18,[ees alarm:配方管理]f18_Tool-98的修改參數後上傳EES主機回應逾時,john_lin,ees,配方管理
case-20260511-00105,2026/5/11 11:47:30 AM,F18,[tcs/tap alarm:帳號與權限]f18_Tool-77的作業員請假交接暫時調整TAP機台控制權限,eric_huang,tcs/tap,帳號與權限
case-20260511-00106,2026/5/11 9:53:12 AM,F12B,[fdc alarm:模型維護]f12b_General的例行性FDC演算法閾值微調驗證,eric_huang,fdc,模型維護
case-20260511-00107,2026/5/11 8:45:34 AM,F14A,[fdc alarm:感測器異常]f14a_General的單一Sensor SVID採樣週期跳動,kevin_wang,fdc,感測器異常
case-20260511-00108,2026/5/11 12:44:08 PM,F12A,[others alarm:帳號與權限]f12a_Tool-83的廠端新進作業員申請基礎檢視權限,tony_chang,others,帳號與權限
case-20260511-00109,2026/5/11 3:30:28 PM,F12B,[others alarm:帳號與權限]f12b_Tool-42的廠端新進作業員申請基礎檢視權限,sam_liu,others,帳號與權限
case-20260511-00110,2026/5/11 9:52:04 AM,F14B,[others alarm:週邊設備]f14b_General的標籤列印機無法收到網路列印指令,chris_chao,others,週邊設備
case-20260512-00111,2026/5/12 8:09:09 AM,F12A,[ees alarm:帳號與權限]f12a_Tool-25的廠端新進作業員申請基礎檢視權限,eric_huang,ees,帳號與權限
case-20260512-00112,2026/5/12 5:38:50 PM,F15,[ees alarm:帳號與權限]f15_General的廠端新進作業員申請基礎檢視權限,david_li,ees,帳號與權限
case-20260512-00113,2026/5/12 12:55:37 PM,F14A,[ees alarm:PM保養]f14a_Tool-17的年度PM完成後於EES點選完工無法同步更新狀態,chris_chao,ees,PM保養
case-20260512-00114,2026/5/12 6:13:16 PM,F12B,[tcs/tap alarm:帳號與權限]f12b_General的作業員請假交接暫時調整TAP機台控制權限,john_lin,tcs/tap,帳號與權限
case-20260512-00115,2026/5/12 10:00:26 AM,F18,[fdc alarm:感測器異常]f18_Tool-47的單一Sensor SVID採樣週期跳動,tony_chang,fdc,感測器異常
case-20260512-00116,2026/5/12 12:45:18 PM,F12A,[others alarm:週邊設備]f12a_Tool-43的標籤列印機無法收到網路列印指令,tony_chang,others,週邊設備
case-20260513-00117,2026/5/13 6:51:59 PM,F14B,[ees alarm:配方管理]f14b_General的修改參數後上傳EES主機回應逾時,david_li,ees,配方管理
case-20260513-00118,2026/5/13 6:09:58 PM,F12B,[ees alarm:配方管理]f12b_General的修改參數後上傳EES主機回應逾時,eric_huang,ees,配方管理
case-20260513-00119,2026/5/13 8:19:38 PM,F14B,[ees alarm:零件壽命]f14b_General的更換消耗性零件後EES介面仍顯示壽命過期警告,eric_huang,ees,零件壽命
case-20260513-00120,2026/5/13 2:17:32 PM,F14B,[tcs/tap alarm:設備通訊]f14b_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,tony_chang,tcs/tap,設備通訊
case-20260513-00121,2026/5/13 2:47:20 PM,F12A,[tcs/tap alarm:報表與查詢]f12a_General的工程師申請匯出昨日OHT搬運統計報表,eric_huang,tcs/tap,報表與查詢
case-20260513-00122,2026/5/13 5:37:01 PM,F15,[tcs/tap alarm:派工作業]f15_General的機台換批時派工佇列稍有延遲重整後正常,eric_huang,tcs/tap,派工作業
case-20260513-00123,2026/5/13 4:41:28 PM,F12B,[fdc alarm:資料採集]f12b_Tool-65的短暫網路震盪導致FDC Log採集延遲,eric_huang,fdc,資料採集
case-20260513-00124,2026/5/13 9:30:22 AM,F14A,[fdc alarm:感測器異常]f14a_General的單一Sensor SVID採樣週期跳動,chris_chao,fdc,感測器異常
case-20260513-00125,2026/5/13 1:26:44 PM,F14A,[others alarm:週邊設備]f14a_Tool-61的標籤列印機無法收到網路列印指令,tony_chang,others,週邊設備
case-20260514-00126,2026/5/14 3:05:20 PM,F14A,[ees alarm:帳號與權限]f14a_General的廠端新進作業員申請基礎檢視權限,eric_huang,ees,帳號與權限
case-20260514-00127,2026/5/14 8:42:55 AM,F14B,[tcs/tap alarm:帳號與權限]f14b_General的作業員請假交接暫時調整TAP機台控制權限,tony_chang,tcs/tap,帳號與權限
case-20260514-00128,2026/5/14 1:39:48 PM,F18,[tcs/tap alarm:派工作業]f18_Tool-16的機台換批時派工佇列稍有延遲重整後正常,tony_chang,tcs/tap,派工作業
case-20260514-00129,2026/5/14 12:35:08 PM,F14B,[tcs/tap alarm:設備通訊]f14b_Tool-72的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,eric_huang,tcs/tap,設備通訊
case-20260514-00130,2026/5/14 6:38:51 PM,F18,[fdc alarm:感測器異常]f18_General的單一Sensor SVID採樣週期跳動,david_li,fdc,感測器異常
case-20260514-00131,2026/5/14 2:05:14 PM,F14B,[others alarm:帳號與權限]f14b_Tool-92的工程師忘記密碼導致帳號被鎖定,john_lin,others,帳號與權限
case-20260514-00132,2026/5/14 3:59:45 PM,F15,[others alarm:帳號與權限]f15_Tool-63的廠端新進作業員申請基礎檢視權限,eric_huang,others,帳號與權限
case-20260514-00133,2026/5/14 3:15:29 PM,F14B,[others alarm:週邊設備]f14b_General的標籤列印機無法收到網路列印指令,kevin_wang,others,週邊設備
case-20260515-00134,2026/5/15 7:56:08 PM,F14A,[ees alarm:零件壽命]f14a_Tool-63的更換消耗性零件後EES介面仍顯示壽命過期警告,john_lin,ees,零件壽命
case-20260515-00135,2026/5/15 8:32:17 PM,F14A,[ees alarm:帳號與權限]f14a_Tool-85的廠端新進作業員申請基礎檢視權限,alex_chen,ees,帳號與權限
case-20260515-00136,2026/5/15 10:28:34 AM,F14A,[ees alarm:帳號與權限]f14a_General的廠端新進作業員申請基礎檢視權限,tony_chang,ees,帳號與權限
case-20260515-00137,2026/5/15 1:55:12 PM,F15,[tcs/tap alarm:系統效能]f15_General的尖峰排程時段TCS主機反應時間稍有波動,david_li,tcs/tap,系統效能
case-20260515-00138,2026/5/15 8:20:47 AM,F18,[tcs/tap alarm:系統效能]f18_Tool-58的尖峰排程時段TCS主機反應時間稍有波動,tony_chang,tcs/tap,系統效能
case-20260515-00139,2026/5/15 8:52:41 PM,F14B,[fdc alarm:模型維護]f14b_Tool-26的例行性FDC演算法閾值微調驗證,kevin_wang,fdc,模型維護
case-20260515-00140,2026/5/15 9:55:54 AM,F12A,[fdc alarm:感測器異常]f12a_Tool-68的單一Sensor SVID採樣週期跳動,tony_chang,fdc,感測器異常
case-20260515-00141,2026/5/15 7:09:26 PM,F12A,[fdc alarm:模型維護]f12a_Tool-43的例行性FDC演算法閾值微調驗證,kevin_wang,fdc,模型維護
case-20260515-00142,2026/5/15 7:25:41 PM,F14A,[others alarm:帳號與權限]f14a_Tool-78的廠端新進作業員申請基礎檢視權限,john_lin,others,帳號與權限
case-20260515-00143,2026/5/15 1:40:45 PM,F15,[others alarm:帳號與權限]f15_General的工程師忘記密碼導致帳號被鎖定,tony_chang,others,帳號與權限
case-20260515-00144,2026/5/15 11:40:43 AM,F12B,[others alarm:帳號與權限]f12b_Tool-65的工程師忘記密碼導致帳號被鎖定,eric_huang,others,帳號與權限
case-20260516-00145,2026/5/16 7:55:06 PM,F12B,[ees alarm:PM保養]f12b_Tool-13的年度PM完成後於EES點選完工無法同步更新狀態,tony_chang,ees,PM保養
case-20260516-00146,2026/5/16 1:50:03 PM,F14A,[ees alarm:配方管理]f14a_General的修改參數後上傳EES主機回應逾時,eric_huang,ees,配方管理
case-20260516-00147,2026/5/16 11:33:26 AM,F12B,[ees alarm:帳號與權限]f12b_General的廠端新進作業員申請基礎檢視權限,kevin_wang,ees,帳號與權限
case-20260516-00148,2026/5/16 6:15:31 PM,F12B,[tcs/tap alarm:系統效能]f12b_Tool-42的尖峰排程時段TCS主機反應時間稍有波動,kevin_wang,tcs/tap,系統效能
case-20260516-00149,2026/5/16 12:42:00 PM,F14A,[tcs/tap alarm:設備通訊]f14a_Tool-30的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,tony_chang,tcs/tap,設備通訊
case-20260516-00150,2026/5/16 3:22:37 PM,F18,[tcs/tap alarm:自動搬運]f18_Tool-98的自動搬運系統指令重試後成功進料,eric_huang,tcs/tap,自動搬運
case-20260516-00151,2026/5/16 12:12:24 PM,F12A,[fdc alarm:模型維護]f12a_General的例行性FDC演算法閾值微調驗證,tony_chang,fdc,模型維護
case-20260516-00152,2026/5/16 5:18:44 PM,F12A,[fdc alarm:資料採集]f12a_Tool-94的短暫網路震盪導致FDC Log採集延遲,eric_huang,fdc,資料採集
case-20260516-00153,2026/5/16 8:36:55 AM,F15,[others alarm:帳號與權限]f15_Tool-46的工程師忘記密碼導致帳號被鎖定,alex_chen,others,帳號與權限
case-20260516-00154,2026/5/16 5:51:22 PM,F18,[others alarm:帳號與權限]f18_General的廠端新進作業員申請基礎檢視權限,david_li,others,帳號與權限
case-20260517-00155,2026/5/17 8:46:49 PM,F18,[ees alarm:PM保養]f18_General的年度PM完成後於EES點選完工無法同步更新狀態,kevin_wang,ees,PM保養
case-20260517-00156,2026/5/17 12:50:28 PM,F15,[ees alarm:配方管理]f15_General的修改參數後上傳EES主機回應逾時,alex_chen,ees,配方管理
case-20260517-00157,2026/5/17 9:58:18 AM,F18,[ees alarm:配方管理]f18_Tool-35的修改參數後上傳EES主機回應逾時,sam_liu,ees,配方管理
case-20260517-00158,2026/5/17 1:33:32 PM,F12B,[tcs/tap alarm:系統效能]f12b_General的尖峰排程時段TCS主機反應時間稍有波動,eric_huang,tcs/tap,系統效能
case-20260517-00159,2026/5/17 8:18:47 PM,F12A,[tcs/tap alarm:派工作業]f12a_Tool-19的機台換批時派工佇列稍有延遲重整後正常,sam_liu,tcs/tap,派工作業
